,Year,Type,Country,Area,Location,Activity,Sex ,Injury,Time,Fatal,NotFatal,Species,Season
17,2018,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,Minor injury to ankle,Afternoon,0,1,tiger,aut
14,2018,Provoked,AUSTRALIA,Westerm Australia,Dugong Bay,Feeding sharks,F,Shallow lacerations to finger PROVOKED INCIDENT,unknown,0,1,blacktip,spr
37,2018,Unprovoked,AUSTRALIA,Victoria,Lorne,Swimming,M,"No injury, said to have been charged by sharks several times",unknown,0,1,unknown,spr
38,2018,Unprovoked,AUSTRALIA,Victoria,Winkipop,Surfing,M,"Minor injury, ankle grazed",unknown,0,1,wobbegong,spr
35,2018,Unprovoked,USA,Hawaii,Kukio Beach,Stand-Up Paddleboarding,M,Injuries to right leg & hand,Afternoon,0,1,small,spr
47,2018,Unprovoked,AUSTRALIA,Western Australia,Cone Bay,unknown,M,Injuries to right leg,unknown,0,1,unknown,win
18,2018,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,M,"No injury, shark bit scuba gear",Morning,0,1,white,spr
19,2018,Unprovoked,AUSTRALIA,Western Australia,Gearys Beach,Surfing,M,"No injury, knocked off board by shark",unknown,0,1,unknown,spr
7,2018,Unprovoked,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,M,Minor injury to foot. PROVOKED INCIDENT,Afternoon,0,1,unknown,spr
8,2018,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Walking,M,Lower left leg bitten,unknown,0,1,lemon,spr
9,2018,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Standing,M,Minor injury to foot,Afternoon,0,1,bull,spr
0,2018,Boating,USA,California,"Oceanside, San Diego County",Paddling,F,"No injury to occupant, outrigger canoe and paddle damaged",unknown,0,1,unknown,sum
21,2018,Unprovoked,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",Surfing,M,"No injury, knocked off board by shark",unknown,0,1,unknown,spr
10,2018,Provoked,AUSTRALIA,Queensland,Cairns Aquarium,Feeding sharks,M,Minor bite to hand by captive shark. PROVOKED INCIDENT,Afternoon,0,1,unknown,spr
39,2018,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban,Scuba Diving,M, The shark & man simply collided; neither were injured,Afternoon,0,1,bull,win
22,2018,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,"No injury, shark struck his leg",Afternoon,0,1,unknown,spr
40,2018,Unprovoked,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,F,Laceratons to right leg & foot,unknown,0,1,tiger,win
23,2018,Unprovoked,MALDIVES,Alifu Alifu Atoll,Madoogali,Fishing,M,5-inch cut to hand,unknown,0,1,unknown,spr
24,2018,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Paddle-skiing,M,"No injury, shark bit hole in ski",Afternoon,0,1,bull,spr
11,2018,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",Boogie boarding,M,Injuries to lower right leg and foot,Afternoon,0,1,white,spr
48,2018,Unprovoked,NEW CALEDONIA,unknown,Nouville,Spearfishing,M,Injuries to abdomen and arm,unknown,0,1,blue,win
25,2018,Unprovoked,USA,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",Body boarding,M,Lacerations to right lower leg,unknown,0,1,bull,spr
1,2018,Unprovoked,USA,Georgia,"St. Simon Island, Glynn County",Standing,F,Minor injury to left thigh,unknown,0,1,nurse,sum
41,2018,Provoked,AUSTRALIA,Victoria,Westernport Bay,Kayak fishing for sharks,M,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",unknown,0,1,unknown,win
42,2018,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Kiama",Walking,M,Puncture wounds to leff foot & lower leg,Afternoon,0,1,tiger,win
26,2018,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,Lacerations to foot and ankle,unknown,0,1,unknown,spr
27,2018,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming,M,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",unknown,unknown,unknown,unknown,spr
28,2018,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",Surfing,M,Laceration to right thigh,Morning,0,1,unknown,spr
29,2018,Unprovoked,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",Surfing,M,Lacerations to legs,Afternoon,0,1,wobbegong,spr
36,2018,Unprovoked,AUSTRALIA,Western Australia,Waterman's Bay,Wading,M,Minor injuries to legs,Afternoon,0,1,unknown,spr
49,2018,Unprovoked,AUSTRALIA,Queensland,Lizard Island,Diving,M,Severe laceration to left forearm,unknown,0,1,unknown,win
30,2018,Unprovoked,BAHAMAS,New Providence,Nirvana Beach,Surfing,M,No Injury. Shark swam away with the surf board,Afternoon,0,1,reef,spr
12,2018,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,Severe bite to right forearm,Morning,0,1,unknown,spr
50,2018,Unprovoked,AUSTRALIA,New South Wales,Martin Islet,Free diving,M,"No injury, shark took his swimfin",unknown,0,1,unknown,win
15,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,"Minor injury, marks on board",Afternoon,0,1,white,spr
51,2018,Unprovoked,BRAZIL,Fernando de Noronha,Conceicao Beach,Surfing,M,Minor injury to left forearm,unknown,0,1,lemon,win
32,2018,Unprovoked,NEW CALEDONIA,unknown,"Magenta Beach, Noumea",Windsurfing,unknown,"No injury, shark bit board",Afternoon,0,1,unknown,spr
3,2018,Unprovoked,AUSTRALIA,New South Wales,Arrawarra Headland,Surfing,M,Minor injury to lower leg,Morning,0,1,unknown,sum
52,2018,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,Foot bitten,unknown,0,1,unknown,win
33,2018,Unprovoked,BAHAMAS,unknown,Bimini,Swimming,M,"2 puncture wounds to left foot, abrasion to right foot",unknown,0,1,white,spr
4,2018,Provoked,MEXICO,Colima,La Ticla,Free diving,M,Lacerations to leg & hand shark PROVOKED INCIDENT,Morning,0,1,tiger,sum
5,2018,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Ballina",Kite surfing,M,"No injury, board bitten",Morning,0,1,bull,sum
6,2018,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Swimming,M,FATAL,Morning,1,0,tiger,sum
45,2018,Unprovoked,ECUADOR,Galapagos Islands,Santa Fe Island,Snorkeling,M,Injuries to right foot,unknown,0,1,white,win
34,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Surfing,M,Lacerations to left knee & lower leg,Morning,0,1,unknown,spr
86,2017,Boating,AUSTRALIA,Westerm Australia,Esperance,Fishing,unknown,"sharks rammed boats, no injury to occupants",Morning,0,1,unknown,aut
65,2017,Unprovoked,AUSTRALIA,Queensland,Magnetic Island,Snorkeling,M,Calf injured,Afternoon,0,1,unknown,aut
110,2017,Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,unknown,Spearfishing,M,Severe lacerations to left hand,Afternoon,0,1,unknown,aut
59,2017,Unprovoked,LIBYA,unknown, Gars Garabulli,2 boats capsized,unknown,FATAL,unknown,1,0,tiger,aut
132,2017,Unprovoked,BAHAMAS,unknown,unknown,Feeding sharks,F,Fingernail pulled off ,Afternoon,0,1,unknown,aut
62,2017,Unprovoked,unknown,unknown,unknown,Surfing,M,Puncture wounds to feet,Afternoon,0,1,unknown,aut
171,2017,Unprovoked,BAHAMAS,Great Exuma,unknown,Washing hands,M,Abrasions & lacerations to left leg and hand,Afternoon,0,1,white,aut
136,2017,Unprovoked,UNITED KINGDOM,South Devon,Bantham Beach,Surfing ,M,"Bruise to leg, cuts to hand sustained when he hit the shark",Morning,0,1,unknown,aut
122,2017,Provoked,MEXICO,Tabasco,"Sánchez Magallanes, Cárdenas",Fishing,M,Hand bitten by hooked shark PROVOKED INCIDENT,Afternoon,0,1,unknown,aut
90,2017,Unprovoked,SOLOMON ISLANDS,unknown,Owarigi Island,Spearfishing,M,Foot bitten,Afternoon,0,1,white,aut
143,2017,Provoked,AUSTRALIA,Queensland,Weipa,Attempting to lasso a shark,M,Thigh nipped PROVOKED INCIDENT,unknown,0,1,nurse,aut
106,2017,Unprovoked,USA,Florida,"Jacksonvlle, Duval County",Skimboarding,M,Lacerations to lower leg,Afternoon,0,1,unknown,sum
53,2017,Unprovoked,USA,Hawaii,"Hultin's Beach, Oahu",Surfing,F,Severe lacerations to left thigh & knee,unknown,0,1,tiger,win
57,2017,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba Diving,M,Serious injury to leg,Afternoon,0,1,tiger,aut
58,2017,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,F,FATAL,unknown,1,0,tiger,aut
139,2017,Provoked,USA,South Carolina,"Awendaw, Charleston County",Touching a shark,F,Right hand bitten by hooked shark PROVOKED INCIDENT,Afternoon,0,1,unknown,spr
54,2017,Unprovoked,USA,California,"Drakes Estero, Point Reyes, Marin County",Surfing,F,Foot bitten,unknown,0,1,unknown,win
108,2017,Unprovoked,USA,South Carolina,"DeBordieu Colony, Georgetown County",unknown,F,Bite to left thigh / minor injury,unknown,0,1,bull,sum
96,2017,Unprovoked,AUSTRALIA,Victoria,Cathedral Rock,Surfing,M,"No injury, board bitten",Afternoon,0,1,bull,sum
146,2017,Unprovoked,USA,California,"San Onofre, San Diego County ",Swimming,F,Major injury to posterior thigh,unknown,0,1,tiger,spr
147,2017,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",Surfing,M,Minor injury to right calf,unknown,0,1,unknown,spr
148,2017,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Surfing,F,Left foot bitten,Afternoon,0,1,unknown,spr
149,2017,Unprovoked,REUNION,Saint-Leu,Pointe au Sal,Body boarding,M,FATAL,Afternoon,1,0,unknown,spr
66,2017,Unprovoked,AUSTRALIA,New South Wales,Birubi Point,Surfing,M,Minor injury to foot,Morning,0,1,unknown,aut
140,2017,Unprovoked,USA,Florida,Off Jupiter,Feeding sharks,M,Lacerations to right arm,Afternoon,0,1,tiger,spr
167,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Minor injury to left foot,unknown,0,1,wobbegong,spr
109,2017,Unprovoked,BAHAMAS,New Providence District,Rose Island,Snorkeling,F,Foot & ankle injured,Morning,0,1,bull,sum
97,2017,Unprovoked,USA,Florida,Bathtub Beach ,Wading,F,Leg injured,Morning,0,1,unknown,sum
150,2017,Unprovoked,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",Body boarding,F,Puncture wounds & laceration above knee,Afternoon,0,1,unknown,spr
67,2017,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",Stand-Up Paddleboarding,M,No injury but shark bit SUP,Morning,0,1,unknown,aut
99,2017,Unprovoked,NEW ZEALAND,North Island,Off Tutukaka,Canoeing,M,"No injury, shark bit canoe",unknown,0,1,unknown,sum
